Series Name,Series Code,Country Name,Country Code,1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
GDP per capita (current US$),NY.GDP.PCAP.CD,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,183.532775237202,200.462375926026,221.65766209292,255.055107095483,274.000655690946,375.07826147255,387.849288097831,443.845150536332,554.59473461788,621.912413814308,663.141052810937,651.987861948108,628.146803888496,592.476164793256,520.251954939821,530.14986261654,502.057099211089,500.52298078433,516.866797351726,363.674087113049,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Albania,ALB,367.279225077581,586.416133065074,750.604449178826,1009.97711375563,717.380047745673,813.789396580449,1033.24253162418,1126.68334010717,1281.6598256178,1425.12421860142,1846.12012081207,2373.58129170055,2673.78780296036,2972.74361818169,3595.03830207997,4370.53971115737,4114.13404061058,4094.34969883571,4437.14114631148,4247.63135624709,4413.06339738921,4578.63320812155,3952.80358410846,4124.05538986272,4531.03220675893,5287.66081699731,5396.21422690995,5343.0377039956,6377.20309553753,6802.80451885113
GDP per capita (current US$),NY.GDP.PCAP.CD,Algeria,DZA,1825.87512263745,1522.82521008773,1466.54469063382,1619.53240256749,1634.46740988129,1610.30296847507,1602.8649145582,1780.37607069151,1754.58236476294,1794.811114232,2117.04822899287,2624.79523151946,3131.32817565242,3500.13460988746,3971.80348828223,4946.56401720759,3898.47880576084,4495.92145548343,5473.28180110324,5610.73330610332,5519.77757552373,5516.22946321562,4197.41997101868,3967.20065952107,4134.93609898195,4171.79530903532,4021.98360796603,3354.15730265114,3700.31119460857,4273.92218311515
GDP per capita (current US$),NY.GDP.PCAP.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,8800.72881035461,9043.68236654528,8832.81851941832,8733.01428721137,8673.92719531291,9187.16634446553,10019.502245442,12191.5977314597,10446.8632062572,10495.3047320935,11920.0610903131,12038.8715916596,12313.9973571825,13101.5418159165,13300.8246114811,12372.8847825647,13195.9358995539,13672.576657298,15501.5263374397,15743.3107582991,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Andorra,AND,17024.3240763404,16670.9483673368,18731.6506853284,19081.5379620756,18253.0853760338,18592.2430209473,18884.1713459468,21620.4684882246,22809.0877599631,24784.9637863048,31954.1556558944,37630.7642639554,39583.9311942065,43084.2929123378,50562.8612073334,53721.4113275461,49750.6936704524,48237.8911734423,51428.1969548606,44902.3807653946,44747.7538640509,45680.5349900379,38885.5303237179,39931.2169819106,40632.2315536054,42904.8284555114,41328.6004993451,37207.2220000095,42072.341103463,41992.7933583772
GDP per capita (current US$),NY.GDP.PCAP.CD,Angola,AGO,847.653799281656,251.856499216203,399.73555844781,523.310909069442,514.309886597359,423.393452775682,387.689414798423,556.88424373456,527.464118489685,872.657638045899,982.805589644709,1254.69612612243,1900.7238165071,2597.96358484271,3121.34873520681,4081.71749719537,3123.69889829937,3496.78479608032,4511.15322719034,4962.55207190082,5101.98387641128,5059.08044128816,3100.83068530533,1709.51553404553,2283.21423255725,2487.50099555267,2142.23875712854,1502.95075414518,1903.71740495688,2998.50115810921
GDP per capita (current US$),NY.GDP.PCAP.CD,Antigua and Barbuda,ATG,8129.14412118471,8788.01332343794,8440.03452559258,9079.48121192054,9556.83280236062,10029.4777498107,10379.1604015118,11010.1974601342,10502.9388110146,10549.6661892802,10968.8926839103,11650.8484770858,12808.0101536637,14310.6862347854,16006.1361107498,16457.1040632589,14530.5986896353,13404.5160161036,13117.1469408968,13686.4765853976,13350.149136673,14004.8112122163,14861.8827074704,15862.6516627488,16110.31239978,17514.3558637327,18187.7797117112,15284.7723835378,16740.3481963818,18745.1735087796
GDP per capita (current US$),NY.GDP.PCAP.CD,Argentina,ARG,6957.41749889251,7464.4747368819,7383.70450960064,7690.15700254783,8176.77119517435,8250.67317414321,7735.32208018486,7666.51783423783,7168.97587232911,2579.48876933284,3333.15290388997,4258.16026060875,5086.62776073134,5890.97800169795,7210.59554755899,8977.50685093365,8184.38988923991,10385.9644319555,12848.7404762598,13082.664325572,13080.2547323367,12334.7982453893,13789.060424772,12790.2640639201,14613.035714704,11795.1628852236,9963.67423069626,8496.428156755,10636.1155301986,13686.0086737317
GDP per capita (current US$),NY.GDP.PCAP.CD,Armenia,ARM,347.466463257033,389.825286464953,441.89400183385,484.091640977405,501.156515236364,584.384267258527,575.62847915563,603.298025247115,676.150011307766,765.31617768154,910.171261745184,1166.63820390025,1608.16340888544,2109.5263849698,3064.27996076935,3908.94905676792,2917.36624501531,3143.02948216523,3462.6817742332,3643.71540446926,3833.15707143416,4017.22991251531,3666.14182536082,3679.95234910427,4041.99507231389,4391.92327364082,4828.50488860645,4505.86774552638,4966.51347122366,7014.20659172274
GDP per capita (current US$),NY.GDP.PCAP.CD,Aruba,ABW,14970.1523419526,16675.2784883673,17140.4333687405,17375.2253063755,18713.4253880988,19742.3167386832,19833.8267458639,21023.1575127316,20913.2994971137,21377.0951851076,22050.8309318377,24104.6461765229,24975.6732567007,25833.445623022,27665.4264651752,29011.5592450359,25739.1372506975,24452.9283634427,26044.4359333351,25609.9557239373,26515.678080228,26942.3079764655,28421.3864931862,28451.2737445083,29326.7080582111,30918.5152176932,31902.7625819564,24487.863569428,29342.1007300268,..
